"id";"timestamp";"activity"
"16";"01-01-1970 01:03:05.100";"IN_6_3-x"
"30";"01-01-1970 01:03:05.200";"IN_3_3-x"
"30";"01-01-1970 01:03:07.300";"IN_4_3-x"
"14";"01-01-1970 01:03:08.200";"IN_6_3-x"
"41";"01-01-1970 01:03:08.800";"IN_1_0"
"39";"01-01-1970 01:03:08.800";"IN_2_0"
"37";"01-01-1970 01:03:08.800";"IN_3_0"
"35";"01-01-1970 01:03:08.800";"IN_4_0"
"40";"01-01-1970 01:03:08.800";"IN_5_0"
"36";"01-01-1970 01:03:08.800";"IN_6_0"
"38";"01-01-1970 01:03:08.800";"IN_7_0"
"2";"01-01-1970 01:03:09.900";"y-S1_0"
"29";"01-01-1970 01:03:10.100";"IN_6_3-x"
"28";"01-01-1970 01:03:10.500";"IN_4_3-x"
"27";"01-01-1970 01:03:11.100";"IN_1_3-x"
"13";"01-01-1970 01:03:11.200";"IN_5_3-x"
"0";"01-01-1970 01:03:13.000";"y-S1_0"
"27";"01-01-1970 01:03:13.200";"IN_2_3-x"
"0";"01-01-1970 01:03:14.300";"y-S2_0"
"15";"01-01-1970 01:03:14.600";"y-S1_0"
"0";"01-01-1970 01:03:15.600";"y-S3_0"
"27";"01-01-1970 01:03:16.200";"IN_3_3-x"
"33";"01-01-1970 01:03:16.300";"IN_5_3-x"
"16";"01-01-1970 01:03:16.700";"IN_7_3-y"
"0";"01-01-1970 01:03:16.900";"y-S4_0"
"27";"01-01-1970 01:03:18.400";"IN_4_3-x"
"13";"01-01-1970 01:03:18.700";"IN_6_3-x"
"14";"01-01-1970 01:03:19.800";"IN_7_3-y"
"29";"01-01-1970 01:03:21.600";"IN_7_3-y"
"19";"01-01-1970 01:03:22.200";"y-S1_0"
"33";"01-01-1970 01:03:23.700";"IN_6_3-x"
"24";"01-01-1970 01:03:23.800";"y-S1_0"
"24";"01-01-1970 01:03:25.100";"y-S2_0"
"23";"01-01-1970 01:03:28.800";"IN_5_3-x"
"3";"01-01-1970 01:03:30.200";"z-x"
"13";"01-01-1970 01:03:30.300";"IN_7_3-y"
"37";"01-01-1970 01:03:31.100";"IN_3_3-x"
"38";"01-01-1970 01:03:31.900";"IN_7_3-y"
"21";"01-01-1970 01:03:31.900";"IN_5_3-x"
"37";"01-01-1970 01:03:33.200";"IN_4_3-x"
"33";"01-01-1970 01:03:35.300";"IN_7_3-y"
"23";"01-01-1970 01:03:36.300";"IN_6_3-x"
"35";"01-01-1970 01:03:36.400";"IN_4_3-x"
"9";"01-01-1970 01:03:37.300";"y-S1_0"
"3";"01-01-1970 01:03:39.000";"IN_1_3-x"
"21";"01-01-1970 01:03:39.400";"IN_6_3-x"
"7";"01-01-1970 01:03:40.400";"y-S1_0"
"36";"01-01-1970 01:03:40.900";"IN_6_3-x"
"3";"01-01-1970 01:03:41.200";"IN_2_3-x"
"22";"01-01-1970 01:03:41.900";"y-S1_0"
"22";"01-01-1970 01:03:43.200";"y-S2_0"
"20";"01-01-1970 01:03:43.500";"IN_5_3-x"
"3";"01-01-1970 01:03:44.200";"IN_3_3-x"
"40";"01-01-1970 01:03:45.300";"IN_5_3-x"
"34";"01-01-1970 01:03:45.900";"IN_1_3-x"
"3";"01-01-1970 01:03:46.400";"IN_4_3-x"
"1";"01-01-1970 01:03:47.200";"z-x"
"23";"01-01-1970 01:03:47.900";"IN_7_3-y"
"34";"01-01-1970 01:03:48.000";"IN_2_3-x"
"48";"01-01-1970 01:03:48.600";"IN_1_0"
"46";"01-01-1970 01:03:48.600";"IN_2_0"
"44";"01-01-1970 01:03:48.600";"IN_3_0"
"42";"01-01-1970 01:03:48.600";"IN_4_0"
"47";"01-01-1970 01:03:48.600";"IN_5_0"
"43";"01-01-1970 01:03:48.600";"IN_6_0"
"45";"01-01-1970 01:03:48.600";"IN_7_0"
"21";"01-01-1970 01:03:51.000";"IN_7_3-y"
"34";"01-01-1970 01:03:51.000";"IN_3_3-x"
"20";"01-01-1970 01:03:51.000";"IN_6_3-x"
"36";"01-01-1970 01:03:52.400";"IN_7_3-y"
"40";"01-01-1970 01:03:52.700";"IN_6_3-x"
"34";"01-01-1970 01:03:53.200";"IN_4_3-x"
"26";"01-01-1970 01:03:53.400";"y-S1_0"
"6";"01-01-1970 01:03:55.800";"y-S1_0"
"1";"01-01-1970 01:03:56.000";"IN_1_3-x"
"31";"01-01-1970 01:03:57.500";"y-S1_0"
"1";"01-01-1970 01:03:58.200";"IN_2_3-x"
"31";"01-01-1970 01:03:58.800";"y-S2_0"
"1";"01-01-1970 01:04:01.200";"IN_3_3-x"
"20";"01-01-1970 01:04:02.600";"IN_7_3-y"
"1";"01-01-1970 01:04:03.400";"IN_4_3-x"
"30";"01-01-1970 01:04:03.600";"IN_5_3-x"
"40";"01-01-1970 01:04:04.300";"IN_7_3-y"
"28";"01-01-1970 01:04:06.700";"IN_5_3-x"
"16";"01-01-1970 01:04:09.600";"y-S1_0"
"45";"01-01-1970 01:04:10.400";"IN_7_3-y"
"44";"01-01-1970 01:04:10.900";"IN_3_3-x"
"30";"01-01-1970 01:04:11.100";"IN_6_3-x"
"41";"01-01-1970 01:04:11.800";"IN_1_3-x"
"14";"01-01-1970 01:04:12.700";"y-S1_0"
"44";"01-01-1970 01:04:13.000";"IN_4_3-x"
"41";"01-01-1970 01:04:13.900";"IN_2_3-x"
"28";"01-01-1970 01:04:14.200";"IN_6_3-x"
"29";"01-01-1970 01:04:14.500";"y-S1_0"
"27";"01-01-1970 01:04:14.700";"IN_5_3-x"
"43";"01-01-1970 01:04:15.900";"IN_6_3-x"
"42";"01-01-1970 01:04:16.200";"IN_4_3-x"
"41";"01-01-1970 01:04:16.900";"IN_3_3-x"
"41";"01-01-1970 01:04:19.100";"IN_4_3-x"
"47";"01-01-1970 01:04:22.000";"IN_5_3-x"
"27";"01-01-1970 01:04:22.200";"IN_6_3-x"
"30";"01-01-1970 01:04:22.700";"IN_7_3-y"
